ITEM_ID,NAME,CATEGORY,UNIT,UNIT_PRICE,UNIT_CURRENCY,SHELF_LIFE_DAYS,VENDOR_ID,IMAGE_URL
87,Provolone,Tech Gear,5 Pounds,10.650000000,USD,20,3,
88,Hoagie,Footwear,100 Hoagie Pack,18.350000000,USD,14,6,
11,Pork Ribs,Performance,5 Racks,40.470000000,USD,15,3,
16,Brisket,Performance,10 Pounds,74.980000000,USD,15,3,
20,Sausage,Performance,20 Link Pack,7.100000000,USD,15,3,
29,Avocado,Lifestyle,20 Count Pack,14.110000000,USD,15,5,
30,Salsa,Apparel,1 Gallon,3.670000000,USD,15,7,
31,Bell Pepper,Lifestyle,20 Count Pack,7.370000000,USD,15,5,
50,Lobster,Performance,5 Pounds,35.810000000,USD,15,3,
51,Bok Choy,Lifestyle,2 Pounds,14.910000000,USD,15,5,
52,Pork Belly,Performance,5 Pounds,36.620000000,USD,15,3,
53,Sourdough Bread,Footwear,1 Loaf,0.750000000,USD,15,6,
45,Macaroni,Apparel,5 Pounds,7.080000000,USD,60,7,
48,Egg Noodles,Apparel,5 Pounds,7.160000000,USD,60,7,
60,Carrots,Lifestyle,5 Pounds,5.290000000,USD,15,5,
61,Brown Gravy,Apparel,5 Gallons,7.340000000,USD,15,7,
62,Mushrooms,Lifestyle,5 Pounds,7.220000000,USD,15,5,
59,Tofu,Performance,5 Pounds,10.910000000,USD,21,3,
85,Curry,Apparel,5 Pounds,7.320000000,USD,14,7,
17,Pork Loin,Performance,5 Pounds,50.260000000,USD,15,3,
26,Sirloin Steak,Performance,5 Pounds,56.650000000,USD,15,3,
27,Chicken Breast,Performance,5 Pounds,28.850000000,USD,15,3,
49,Local Fish,Performance,5 Pounds,29.620000000,USD,15,3,
78,Lamb,Performance,5 Pounds,29.690000000,USD,15,3,
79,Ground Beef,Performance,5 Pounds,14.990000000,USD,15,3,
80,Cucumber,Lifestyle,5 Pounds,1.440000000,USD,15,5,
6,Frozen Fried Pickles,Bags & Gear,5 Pounds,8.830000000,USD,30,2,
54,Ham,Performance,5 Pounds,14.200000000,USD,14,3,
55,Turkey,Performance,5 Pounds,14.030000000,USD,14,3,
56,Bacon,Performance,5 Pounds,14.320000000,USD,14,3,
68,Lentils,Apparel,5 Pounds,5.640000000,USD,60,7,
69,Hot Dog Bun,Footwear,10 Count Pack,18.340000000,USD,20,6,
70,Potato,Lifestyle,10 Count Pack,7.030000000,USD,20,5,
77,White Noodles,Apparel,5 Pounds,7.500000000,USD,60,7,
22,Lettuce,Lifestyle,5 Pounds,3.730000000,USD,15,5,
23,Spinach,Lifestyle,5 Pounds,3.610000000,USD,15,5,
24,Arugula,Lifestyle,5 Pounds,3.680000000,USD,15,5,
33,Cabbage,Lifestyle,5 Pounds,3.590000000,USD,15,5,
34,Guacamole,Lifestyle,5 Pounds,7.060000000,USD,15,5,
36,Tomato,Lifestyle,5 Pounds,3.710000000,USD,15,5,
37,Onion,Lifestyle,5 Pounds,3.520000000,USD,15,5,
38,Red Onion,Lifestyle,5 Pounds,3.650000000,USD,15,5,
39,Green Onion,Lifestyle,5 Pounds,2.230000000,USD,15,5,
66,Jalapeno,Lifestyle,5 Pounds,5.830000000,USD,15,5,
84,Shrimp,Performance,5 Pounds,28.690000000,USD,15,3,
89,Court Vision Low,Performance,5 Pounds,10.610000000,USD,15,3,
